transaction_id,timestamp,sender_id,receiver_id,amount,device_id,location,transaction_type,is_new_device,is_new_receiver,is_high_value_simulated,is_night_time_simulated
T_CLEAN_0,2025-12-04 10:54:20.449585,U0644,U0409,812.41,D103,Bangalore,P2M,False,False,False,False
T_CLEAN_1,2025-12-04 05:54:20.450642,U0112,U0325,332.07,D445,Bangalore,P2P,False,False,False,False
T_CLEAN_2,2025-12-04 17:01:20.450680,U0304,U0498,1803.53,D420,Bangalore,P2M,False,False,False,False
T_CLEAN_3,2025-12-04 16:20:20.450700,U0192,U0614,996.74,D275,Pune,P2M,False,False,False,False
T_CLEAN_4,2025-12-04 12:41:20.450717,U0624,U0449,4763.29,D380,Pune,P2M,False,False,False,False
T_CLEAN_5,2025-12-04 04:24:20.450735,U0367,U0758,1914.11,D415,Chennai,P2M,False,False,False,False
T_CLEAN_6,2025-12-04 07:38:20.450751,U0578,U0033,400.33,D011,Delhi,P2M,False,False,False,False
T_CLEAN_7,2025-12-04 02:10:20.450765,U0028,U0344,1491.41,D245,Delhi,P2M,False,False,False,False
T_CLEAN_8,2025-12-04 10:48:20.450779,U0404,U0826,723.59,D043,Pune,P2M,False,False,False,False
T_CLEAN_9,2025-12-04 02:28:20.450793,U0815,U0461,4002.66,D481,Delhi,P2M,False,False,False,False
T_CLEAN_10,2025-12-04 08:12:20.450809,U0426,U0790,1909.63,D155,Chennai,P2M,False,False,False,False
T_CLEAN_11,2025-12-04 02:51:20.450823,U0411,U0532,1068.9,D331,Chennai,P2M,False,False,False,False
T_CLEAN_12,2025-12-04 16:30:20.450840,U0951,U0206,1704.5,D005,Mumbai,P2P,False,False,False,False
T_CLEAN_13,2025-12-04 02:20:20.450854,U0231,U0602,234.04,D395,Delhi,P2P,False,False,False,False
T_CLEAN_14,2025-12-04 01:03:20.450867,U0124,U0018,5730.48,D004,Mumbai,P2M,False,False,False,False
